gene_id,GeneSymbol
10007,GNPDA1
1001,CDH3
10013,HDAC6
10038,PARP2
10046,MAMLD1
10049,DNAJB6
10051,SMC4
10057,ABCC5
10058,ABCB6
10059,DNM1L
10099,TSPAN3
10112,KIF20A
10123,ARL4C
10131,TRAP1
10146,G3BP1
10150,MBNL2
10153,CEBPZ
10165,SLC25A13
1017,CDK2
10174,SORBS3
10180,RBM6
1019,CDK4
10190,TXNDC9
102,ADAM10
10206,TRIM13
1021,CDK6
1022,CDK7
10221,TRIB1
10227,MFSD10
10237,SLC35B1
10245,TIMM17B
1026,CDKN1A
1027,CDKN1B
10270,AKAP8
10273,STUB1
10276,NET1
10285,SMNDC1
1029,CDKN2A
10298,PAK4
10318,TNIP1
10320,IKZF1
10329,RXYLT1
10362,HMG20B
10398,MYL9
10434,LYPLA1
10450,PPIE
10451,VAV3
10489,LRRC41
10491,CRTAP
10493,VAT1
10494,STK25
1050,CEBPA
10513,APPBP2
1052,CEBPD
10523,CHERP
10525,HYOU1
10557,RPP38
10559,SLC35A1
10589,DRAP1
10606,PAICS
10610,ST6GALNAC2
10617,STAMBP
1062,CENPE
10641,NPRL2
10644,IGF2BP2
10652,YKT6
10668,CGRRF1
10670,RRAGA
10681,GNB5
10682,EBP
10695,CNPY3
1070,CETN3
10730,YME1L1
10732,TCFL5
10765,KDM5B
10775,POP4
10776,ARPP19
10782,ZNF274
10797,MTHFD2
10810,WASF3
10813,UTP14A
10818,FRS2
10845,CLPX
10857,PGRMC1
10892,MALT1
10898,CPSF4
10904,BLCAP
10915,TCERG1
10921,RNPS1
10953,TOMM34
10954,PDIA5
10962,MLLT11
10969,EBNA1BP2
10972,TMED10
10973,ASCC3
11000,SLC27A3
11004,KIF2C
11007,CCDC85B
11011,TLK2
11014,KDELR2
11031,RAB31
11041,B4GAT1
11044,TENT4A
11065,UBE2C
11072,DUSP14
11073,TOPBP1
11098,PRSS23
1111,CHEK1
11137,PWP1
11142,PKIG
11151,CORO1A
11157,LSM6
11168,PSIP1
11182,SLC2A6
11188,NISCH
11200,CHEK2
1123,CHN1
11230,PRAF2
